asset_id,view,resolution,condition,clean_to_perturbed_chamfer
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,128,occlusion_15,0.04942886158175579
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,128,occlusion_30,0.052564028572756036
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,128,occlusion_30,0.08748925891045867
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,128,occlusion_30,0.03726625762640213
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,128,occlusion_30,0.08403154421663157
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,128,occlusion_30,0.06758428453118165
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,128,occlusion_30,0.05684274884542194
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,128,occlusion_30,0.06507814596878334
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,128,occlusion_30,0.06393612415257337
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,128,occlusion_30,0.049494243301913016
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,128,occlusion_30,0.08381838178929821
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,128,occlusion_30,0.052072919193655295
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,128,occlusion_30,0.08390128405891743
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,128,occlusion_30,0.048711792003293786
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,128,occlusion_30,0.048069632577111755
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,128,occlusion_30,0.04458070390382847
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,128,occlusion_30,0.048783777333773384
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,192,blur_low,0.052957750071894516
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,192,blur_low,0.08451179469821438
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,192,blur_low,0.05150358060675382
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,192,blur_low,0.06398566700806647
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,192,blur_low,0.05654171528734059
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,192,blur_low,0.0462942453280977
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,192,blur_low,0.04189480745628235
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,192,blur_low,0.032562587632373755
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,192,blur_low,0.0659947313523818
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,192,blur_low,0.04379662207902248
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,192,blur_low,0.05128252787579615
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,192,blur_low,0.030887725301205975
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,192,blur_low,0.05296493135869258
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,192,blur_low,0.02228067126544079
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,192,blur_low,0.02506087942778671
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,192,blur_low,0.03220727568350859
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,192,blur_high,0.05079880521688218
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,192,blur_high,0.08246975276092845
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,192,blur_high,0.06386210086358893
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,192,blur_high,0.06825128582660249
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,192,blur_high,0.07607893272317579
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,192,blur_high,0.06754838194080297
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,192,blur_high,0.06883647515558043
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,192,blur_high,0.07135881027802253
